지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm)
115,울릉도독도(감),2021-06-30,413.3639258
115,울릉도독도(감),2021-08-21,416.5669833
115,울릉도독도(감),2021-09-06,410.780422
115,울릉도독도(감),2021-09-07,409.6010711
115,울릉도독도(감),2021-09-21,420.2437211
115,울릉도독도(감),2021-09-22,425.0846365
115,울릉도독도(감),2021-10-04,418.1228393
115,울릉도독도(감),2021-10-06,420.2133061
115,울릉도독도(감),2021-10-07,418.2778117
115,울릉도독도(감),2021-10-11,419.8100928
115,울릉도독도(감),2021-10-12,417.9124242
115,울릉도독도(감),2021-10-14,416.8575638
115,울릉도독도(감),2021-10-16,419.1264957
115,울릉도독도(감),2021-10-17,417.9779869
115,울릉도독도(감),2021-10-18,417.1304995
115,울릉도독도(감),2021-10-21,420.1291571
115,울릉도독도(감),2021-10-23,420.0823361
115,울릉도독도(감),2021-10-24,419.4878488
115,울릉도독도(감),2021-10-25,418.7015748
115,울릉도독도(감),2021-10-26,419.0390383
115,울릉도독도(감),2021-10-27,423.8923679
115,울릉도독도(감),2021-10-28,424.0177853
115,울릉도독도(감),2021-10-29,422.7547635
115,울릉도독도(감),2021-10-30,421.2402985
115,울릉도독도(감),2021-10-31,421.3260913
115,울릉도독도(감),2021-11-01,422.160743
115,울릉도독도(감),2021-11-02,421.31403
115,울릉도독도(감),2021-11-03,420.5440763
115,울릉도독도(감),2021-11-05,423.1946815
115,울릉도독도(감),2021-11-06,423.9826027
115,울릉도독도(감),2021-11-08,423.9288462
115,울릉도독도(감),2021-11-09,422.2900518
115,울릉도독도(감),2021-11-10,423.1173037
115,울릉도독도(감),2021-11-11,422.8011414
115,울릉도독도(감),2021-11-12,423.8335113
115,울릉도독도(감),2021-11-13,423.2841636
115,울릉도독도(감),2021-11-16,423.2081975
115,울릉도독도(감),2021-11-17,422.6861698
115,울릉도독도(감),2021-11-19,425.6077832
115,울릉도독도(감),2021-11-20,426.060869
115,울릉도독도(감),2021-11-22,423.2011128
115,울릉도독도(감),2021-11-23,422.0367347
115,울릉도독도(감),2021-11-24,422.9595901
115,울릉도독도(감),2021-11-27,422.3214636
115,울릉도독도(감),2021-11-28,422.8091802
115,울릉도독도(감),2021-11-29,426.0780821
115,울릉도독도(감),2021-11-30,423.3279672
115,울릉도독도(감),2021-12-01,424.710526
115,울릉도독도(감),2021-12-02,424.8039065
115,울릉도독도(감),2021-12-03,425.6694983
115,울릉도독도(감),2021-12-04,424.3660349
115,울릉도독도(감),2021-12-05,423.1979686
115,울릉도독도(감),2021-12-06,423.9769897
115,울릉도독도(감),2021-12-07,425.2706185
115,울릉도독도(감),2021-12-08,425.6084934
115,울릉도독도(감),2021-12-09,424.5324801
115,울릉도독도(감),2021-12-10,421.4893659
115,울릉도독도(감),2021-12-12,425.1180285
115,울릉도독도(감),2021-12-13,422.8564818
115,울릉도독도(감),2021-12-14,423.8543941
115,울릉도독도(감),2021-12-17,424.3678144
115,울릉도독도(감),2021-12-18,423.3406715
115,울릉도독도(감),2021-12-19,424.599929
115,울릉도독도(감),2021-12-20,427.6376173
115,울릉도독도(감),2021-12-21,426.4801741
115,울릉도독도(감),2021-12-22,425.014779
115,울릉도독도(감),2021-12-23,425.0701228
115,울릉도독도(감),2021-12-24,424.6585076
115,울릉도독도(감),2021-12-25,425.4621956
115,울릉도독도(감),2021-12-26,424.2988489
115,울릉도독도(감),2021-12-27,423.7042551
115,울릉도독도(감),2021-12-28,424.22929
115,울릉도독도(감),2021-12-30,423.0097432
115,울릉도독도(감),2021-12-31,423.2170128
115,울릉도독도(감),2022-01-01,424.45
115,울릉도독도(감),2022-01-02,424.47
115,울릉도독도(감),2022-01-03,424.49
115,울릉도독도(감),2022-01-04,424.51
115,울릉도독도(감),2022-01-05,424.53
115,울릉도독도(감),2022-01-06,424.55
115,울릉도독도(감),2022-01-07,424.58
115,울릉도독도(감),2022-01-08,424.6
115,울릉도독도(감),2022-01-09,424.63
115,울릉도독도(감),2022-01-10,424.65
115,울릉도독도(감),2022-01-11,424.68
115,울릉도독도(감),2022-01-12,424.71
115,울릉도독도(감),2022-01-13,424.74
115,울릉도독도(감),2022-01-14,424.77
115,울릉도독도(감),2022-01-15,424.8
115,울릉도독도(감),2022-01-16,424.84
115,울릉도독도(감),2022-01-17,424.87
115,울릉도독도(감),2022-01-18,424.91
115,울릉도독도(감),2022-01-19,424.94
115,울릉도독도(감),2022-01-20,424.98
115,울릉도독도(감),2022-01-21,425.02
115,울릉도독도(감),2022-01-22,425.06
115,울릉도독도(감),2022-01-23,425.11
115,울릉도독도(감),2022-01-24,425.15
115,울릉도독도(감),2022-01-25,425.19
115,울릉도독도(감),2022-01-26,425.24
115,울릉도독도(감),2022-01-27,425.29
115,울릉도독도(감),2022-01-28,425.33
115,울릉도독도(감),2022-01-29,425.38
115,울릉도독도(감),2022-01-30,425.43
115,울릉도독도(감),2022-01-31,425.48
115,울릉도독도(감),2022-02-01,425.54
115,울릉도독도(감),2022-02-02,425.59
