년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시
2013,01,06,82296,80965,64147,16818,26.2,2013/01/06(01:00)
2013,01,05,82296,80620,68053,12567,18.5,2013/01/05(01:00)
2013,01,04,82296,80843,76375,4468,5.9,2013/01/04(11:00)
2013,01,03,82296,80713,76522,4191,5.5,2013/01/03(11:00)
2013,01,02,82296,80125,73387,6738,9.2,2013/01/02(18:00)
2013,01,01,82296,76730,60178,16552,27.5,2013/01/01(01:00)
2012,12,31,81806,78269,65266,13003,19.9,2012/12/31(11:00)
2012,12,30,81806,76403,61819,14584,23.6,2012/12/30(24:00)
2012,12,29,81806,74180,63609,10571,16.6,2012/12/29(12:00)
2012,12,28,81806,78431,73073,5358,7.3,2012/12/28(12:00)
2012,12,27,81806,79560,75105,4455,5.9,2012/12/27(11:00)
2012,12,26,81806,79972,75987,3985,5.2,2012/12/26(11:00)
2012,12,25,81806,78589,65874,12715,19.3,2012/12/25(01:00)
2012,12,24,81806,79445,74300,5145,6.9,2012/12/24(11:00)
2012,12,23,81806,77136,63306,13830,21.8,2012/12/23(24:00)
2012,12,22,81806,75680,64515,11165,17.3,2012/12/22(11:00)
2012,12,21,81806,79337,74947,4390,5.9,2012/12/21(11:00)
2012,12,20,81806,79540,75154,4386,5.8,2012/12/20(11:00)
2012,12,19,81806,77914,67769,10145,15,2012/12/19(19:00)
2012,12,18,81806,79723,75172,4551,6.1,2012/12/18(11:00)
2012,12,17,81806,77109,72407,4702,6.5,2012/12/17(11:00)
2012,12,16,81806,74541,59375,15166,25.5,2012/12/16(24:00)
2012,12,15,81806,74497,63513,10984,17.3,2012/12/15(11:00)
2012,12,14,81806,78112,73928,4184,5.7,2012/12/14(12:00)
2012,12,13,81806,78018,73244,4774,6.5,2012/12/13(11:00)
2012,12,12,81806,77915,73890,4025,5.4,2012/12/12(11:00)
2012,12,11,81806,77785,74052,3733,5,2012/12/11(11:00)
2012,12,10,81806,78748,74269,4479,6,2012/12/10(11:00)
2012,12,09,81806,76236,62638,13598,21.7,2012/12/09(24:00)
2012,12,08,81806,75673,64826,10847,16.7,2012/12/08(12:00)
2012,12,07,81806,77087,73291,3796,5.2,2012/12/07(12:00)
2012,12,06,81806,77176,72744,4432,6.1,2012/12/06(18:00)
2012,12,05,81806,77353,72502,4851,6.7,2012/12/05(11:00)
2012,12,04,81806,76647,71774,4873,6.8,2012/12/04(18:00)
2012,12,03,81806,75410,70771,4639,6.6,2012/12/03(11:00)
2012,12,02,81806,73052,57401,15651,27.3,2012/12/02(24:00)
2012,12,01,81806,71837,60745,11092,18.3,2012/12/01(11:00)
2012,11,30,81738,75686,68779,6907,10,2012/11/30(10:00)
2012,11,29,81738,75940,69062,6878,10,2012/11/29(11:00)
2012,11,28,81738,74423,68297,6126,9,2012/11/28(10:00)
2012,11,27,81738,74737,68958,5779,8.4,2012/11/27(10:00)
2012,11,26,81738,74242,68602,5640,8.2,2012/11/26(18:00)
2012,11,25,81738,72643,56021,16622,29.7,2012/11/25(24:00)
2012,11,24,81738,71305,59203,12102,20.4,2012/11/24(24:00)
2012,11,23,81738,72880,66568,6312,9.5,2012/11/23(10:00)
2012,11,22,81738,72661,66803,5858,8.8,2012/11/22(10:00)
2012,11,21,81738,72514,67861,4653,6.9,2012/11/21(10:00)
2012,11,20,81738,72205,67338,4867,7.2,2012/11/20(11:00)
2012,11,19,81738,72035,66846,5189,7.8,2012/11/19(19:00)
2012,11,18,81738,70125,55874,14251,25.5,2012/11/18(23:00)
2012,11,17,81738,69249,58325,10924,18.7,2012/11/17(24:00)
2012,11,16,81738,72320,65817,6503,9.9,2012/11/16(10:00)
2012,11,15,81738,71947,65600,6347,9.7,2012/11/15(19:00)
2012,11,14,81738,71352,65597,5755,8.8,2012/11/14(10:00)
2012,11,13,81738,70894,65071,5823,8.9,2012/11/13(19:00)
2012,11,12,81738,70630,63856,6774,10.6,2012/11/12(19:00)
2012,11,11,81738,68641,54242,14399,26.5,2012/11/11(23:00)
2012,11,10,81738,68618,55606,13012,23.4,2012/11/10(01:00)
2012,11,09,81738,68895,62933,5962,9.5,2012/11/09(10:00)
2012,11,08,81738,69457,63379,6078,9.6,2012/11/08(19:00)
2012,11,07,81738,69335,62448,6887,11,2012/11/07(10:00)
2012,11,06,81738,68811,63871,4940,7.7,2012/11/06(19:00)
2012,11,05,81738,68966,63267,5699,9,2012/11/05(19:00)
2012,11,04,81738,67051,53038,14013,26.4,2012/11/04(23:00)
2012,11,03,81738,67065,55191,11874,21.5,2012/11/03(11:00)
2012,11,02,81738,70266,61775,8491,13.7,2012/11/02(19:00)
2012,11,01,81738,68793,62758,6035,9.6,2012/11/01(19:00)
2012,10,31,81593,67910,61481,6429,10.5,2012/10/31(19:00)
2012,10,30,81593,66709,61165,5544,9.1,2012/10/30(19:00)
2012,10,29,81593,66707,61144,5563,9.1,2012/10/29(19:00)
2012,10,28,81593,64697,51516,13181,25.6,2012/10/28(23:00)
2012,10,27,81593,66361,55277,11084,20.1,2012/10/27(12:00)
2012,10,26,81593,68640,60371,8269,13.7,2012/10/26(19:00)
2012,10,25,81593,68204,61308,6896,11.2,2012/10/25(19:00)
2012,10,24,81593,69151,60965,8186,13.4,2012/10/24(19:00)
2012,10,23,81593,68349,61622,6727,10.9,2012/10/23(19:00)
2012,10,22,81593,67074,61429,5645,9.2,2012/10/22(19:00)
2012,10,21,81593,66967,51456,15511,30.1,2012/10/21(20:00)
